names,scores,logfoldchanges,pvals,pvals_adj
(T)n#Simple_repeat#Simple_repeat,23.616867,0.8204128,2.5863375383826758e-123,2.592544748474794e-119
(A)n#Simple_repeat#Simple_repeat,22.258818,0.7494953,9.265938080891016e-110,4.644088166142576e-106
L1HS#LINE#L1,15.825558,0.7104715,2.0735374712731196e-56,1.7320949676701458e-53
(AT)n#Simple_repeat#Simple_repeat,15.738917,0.6005108,8.183197910934185e-56,6.562270068736342e-53
AluJr#SINE#Alu,13.679196,0.38393313,1.3517889632006218e-42,7.324504090336775e-40
HAL1M8#LINE#L1,9.7563305,0.88577724,1.7331222814743207e-22,3.4401619305937804e-20
(TA)n#Simple_repeat#Simple_repeat,9.731179,0.50889635,2.220044516195346e-22,4.321111889386825e-20
L1PA10#LINE#L1,9.397803,0.55444616,5.571408775193713e-21,9.712661141311615e-19
(G)n#Simple_repeat#Simple_repeat,9.252104,0.22424234,2.201171995338955e-20,3.502309219250426e-18
FAM117B,9.229189,1.0889746,2.7268916151500913e-20,4.27099399222883e-18
AluYa8#SINE#Alu,9.088072,0.8713789,1.0081066186402039e-19,1.486067756654324e-17
SCYL3,9.074059,1.0015129,1.146648889749911e-19,1.665798329109146e-17
GNG12,9.017196,0.8755591,1.9296494110955677e-19,2.7632579566888532e-17
L1P4#LINE#L1,8.937597,0.56838745,3.9772437425120985e-19,5.575928849642136e-17
ENSG00000225075,8.709735,0.9703535,3.045871517087927e-18,3.9651709204271924e-16
MOV10,8.394164,0.91005504,4.692208754171638e-17,5.6328982696786236e-15
AluYk3#SINE#Alu,8.30789,0.56450045,9.741852213361632e-17,1.135492169613221e-14
MIER1,8.282484,0.4624876,1.2063187929115602e-16,1.3941472944779451e-14
MLT1G3#LTR#ERVL-MaLR,8.254845,1.0227957,1.5209963498167034e-16,1.732553114836663e-14
AluYb9#SINE#Alu,8.032825,0.5809382,9.525308230204042e-16,1.0492493373578605e-13
AluJr4#SINE#Alu,7.9138684,0.3419445,2.4951227001521217e-15,2.6514715786956255e-13
AluJo#SINE#Alu,7.887108,0.17202497,3.0927043768131332e-15,3.22929882012238e-13
L1MA4A#LINE#L1,7.7429876,0.49866414,9.710737660675131e-15,9.543179834373284e-13
DOCK7,7.6665883,0.6196992,1.7663177085145657e-14,1.6943127952296656e-12
SOX11,7.276405,0.9831342,3.4283422805185195e-13,2.8878742033544237e-11
LTR81A#LTR#Gypsy,7.115747,0.8143709,1.1130844808425852e-12,9.183175996679896e-11
PBX1,7.0500817,0.87378114,1.7881245732128014e-12,1.428219977839452e-10
AluJb#SINE#Alu,6.822851,0.14633375,8.92509910563941e-12,6.777666169312837e-10
L1MA9#LINE#L1,6.5779424,0.34083,4.7700226286220857e-11,3.4275775504880133e-09
THAP5P2,6.528819,1.2665981,6.629019942187649e-11,4.663108484244841e-09
JDP2,6.501681,1.1695786,7.942740040258921e-11,5.529029594691349e-09
ESRRG,6.21444,1.0116892,5.150808628906579e-10,3.3203669257980416e-08
LTR19A#LTR#ERV1,6.0633254,0.9501824,1.3333539323993386e-09,8.353462386481857e-08
MIX23,6.0198274,0.865816,1.7460318322004664e-09,1.0870946016135078e-07
AluSc8#SINE#Alu,5.9758244,0.16067089,2.2892947065042927e-09,1.4121778546460943e-07
MLT1H1#LTR#ERVL-MaLR,5.844088,0.8884291,5.093512593628509e-09,3.003374719913657e-07
LHX9,5.795408,0.9457854,6.8155455332360685e-09,3.9605233869657016e-07
HERV35I-int#LTR#ERV1,5.73584,0.93348885,9.7030238610595e-09,5.573817259785698e-07
FAM#SINE#Alu,5.621059,0.3442304,1.8979045983732076e-08,1.0598660553812275e-06
MER48#LTR#ERV1,5.48523,0.5753546,4.1293234801585474e-08,2.243487185100774e-06
L1PA2#LINE#L1,5.2116537,0.2789246,1.8716447426741076e-07,9.196748480669242e-06
MamRep1527#LTR#LTR,5.198998,0.5427888,2.003655637292874e-07,9.797387369865252e-06
L1MD#LINE#L1,5.064073,0.34180444,4.103920740019245e-07,1.94504498808288e-05
MLT1C#LTR#ERVL-MaLR,4.9744587,0.27439484,6.543028832783032e-07,2.9880328482832394e-05
NTPCR,4.7742715,0.767311,1.8035873986074467e-06,7.628337588034198e-05
L1MA6#LINE#L1,4.7594404,0.3987175,1.9413020310797962e-06,8.159166272345441e-05
LINC02018,4.7389336,1.3423592,2.1484595969559544e-06,8.954743866896667e-05
L1PA17#LINE#L1,4.6338377,0.43716455,3.5894835991879443e-06,0.00014479269053625736
(AAAG)n#Simple_repeat#Simple_repeat,4.5863776,0.56447643,4.510026017017456e-06,0.00017625146508609352
AluSx#SINE#Alu,4.581816,0.09704908,4.609544490049369e-06,0.00017979017108270382
MER76#LTR#ERVL,4.5775495,0.8977768,4.70454688183972e-06,0.00018313933181965576
L1MA2#LINE#L1,4.566379,0.35924137,4.9622148998876326e-06,0.0001920511280172727
ERVL-int#LTR#ERVL,4.5554953,0.9247398,5.226229011967003e-06,0.00020033544786216917
MLT1J#LTR#ERVL-MaLR,4.3587365,0.29882556,1.308154092383882e-05,0.00046915694533295285
ENSG00000287087,4.3139567,1.0372778,1.6035846832192506e-05,0.0005607720715537639
ENSG00000241772,4.313684,0.9958316,1.6055624953704135e-05,0.0005607720715537639
MLT1J2#LTR#ERVL-MaLR,4.2927303,0.47022253,1.7648924881798854e-05,0.0006079478454128924
AluYa5#SINE#Alu,4.265516,0.1666814,1.9944080504570547e-05,0.0006765464060162949
L1MA5A#LINE#L1,4.1564546,0.3195983,3.232244768922837e-05,0.001059160731309737
ENSG00000226338,4.154944,1.0854558,3.253674842499872e-05,0.001064105599387234
MER102c#DNA#hAT-Charlie,4.145211,0.5430562,3.3950038123443386e-05,0.001108518508629956
COL8A1,4.143283,0.5316598,3.423689498647579e-05,0.0011160671068111653
L1MC3#LINE#L1,3.8374631,0.26479444,0.00012431193228982184,0.0037252699828794443
LTR37B#LTR#ERV1,3.828791,0.8270035,0.0001287742977541103,0.003853234509514035
L1P#LINE#L1,3.787381,1.0504953,0.00015224358817784157,0.004468783976265546
B4GALT4,3.7523623,0.66044164,0.000175176025935877,0.005089752127481829
ATL2,3.6605506,0.76281655,0.00025167383319094067,0.007106418320861941
L1PA4#LINE#L1,3.620593,0.21441719,0.00029392840029484696,0.008207070430516841
A-rich#Low_complexity#Low_complexity,3.4853232,0.11413292,0.0004915429482418463,0.013017771501126202
L1ME2z#LINE#L1,3.4559443,0.27877808,0.0005483686037865954,0.014314705428012584
LTR16A2#LTR#ERVL,3.4169347,0.5383894,0.0006333047398543554,0.016256713731882352
DNM3OS,3.300022,0.7247055,0.0009667725768656396,0.023957795576022674
L1ME3B#LINE#L1,3.2515013,0.22511499,0.0011479719946364511,0.02820409626038183
(CTTTTA)n#Simple_repeat#Simple_repeat,3.2103746,1.4996358,0.0013256208353189256,0.03217439044367291
(CCA)n#Simple_repeat#Simple_repeat,3.2018225,0.8598477,0.0013656115160848672,0.032985276716228216
SYNJ2,3.187213,1.5413402,0.0014365100356317872,0.03424393958899652
PPM1H,3.175839,1.344055,0.0014940384281177147,0.03540482554007558
MCPH1,3.1698034,0.9238428,0.001525420900224475,0.03593612010305555
LTR64#LTR#ERV1,3.12425,1.0868337,0.0017825903255049157,0.04126717187727777
EPN2,3.0066617,1.3254664,0.002641335567103618,0.05812677875882912
MER41B#LTR#ERV1,2.9780562,0.49703172,0.0029008269391974425,0.06307568164536911
SLC6A1,2.9730957,0.97306746,0.0029481255023581865,0.06396538968752914
L1P5#LINE#L1,2.9581666,0.5893345,0.003094748711133292,0.06642775391948634
LTR9A1#LTR#ERV1,2.9389014,0.66201097,0.0032937783527161885,0.06980303215143144
RNASEH1,2.906196,0.5992251,0.003658521298667665,0.07648178831667293
MER53#DNA#hAT,2.8872614,0.48555535,0.0038861123484533683,0.08090216029262007
MLT1A#LTR#ERVL-MaLR,2.80743,0.20266764,0.004993853202927801,0.10112804950737025
HERVK14-int#LTR#ERVK,2.7949593,1.5878464,0.005190623207918423,0.10427015438111077
PLCXD3,2.7483454,1.0932138,0.00598968744493197,0.11854023089436934
MER50#LTR#ERV1,2.7332964,0.55330586,0.006270386920218257,0.12339335542503861
(ATTTATT)n#Simple_repeat#Simple_repeat,2.7254305,1.2979039,0.006421767563821845,0.12572616808544956
ALR/Alpha#Satellite#centr,2.7227106,0.51704764,0.006474874985521669,0.12617767911660233
FRAM#SINE#Alu,2.7185307,0.14488496,0.006557256304223115,0.12763094600685923
MER5A1#DNA#hAT-Charlie,2.705352,0.24531086,0.006823204472786946,0.1317838181796076
LTR104_Mam#LTR#Gypsy,2.6999447,0.47593427,0.006935100455055112,0.13343080030992793
SLC16A1-AS1,2.6881132,0.43340313,0.007185702270953018,0.1374608388626585
MLT1D-int#LTR#ERVL-MaLR,2.6745858,0.7486096,0.007482160882325202,0.1420476906902042
MLT1E3#LTR#ERVL-MaLR,2.645679,0.5668581,0.008152711652215192,0.15303891685731288
LFSINE_Vert#SINE#tRNA,2.6233163,0.5397401,0.008707839310043689,0.16134451246557843
ENSG00000243081,2.6019886,1.2243534,0.009268497318571422,0.1698490258160145
L1PA3#LINE#L1,2.6012695,0.16147338,0.009287948088248295,0.17005003038648567
X2_LINE#LINE#CR1,2.5907235,0.88520676,0.009577440238101826,0.17455320172133218
CDK9,2.5285993,0.7460851,0.011451866997661155,0.20329312709741224
ANO10,2.4874654,0.95051116,0.01286570096963854,0.22507118066257717
CCDC30,2.4858892,0.9026505,0.01292281896617753,0.22586314380395056
SVA_D#Retroposon#SVA,2.4799154,0.11248993,0.013141356433079447,0.22880559808379689
ENSG00000289194,2.4695256,0.8428501,0.013529232070736778,0.23372541116673629
SVA_F#Retroposon#SVA,2.424259,0.30368993,0.015339664174880982,0.2575322962975658
MER4CL34#LTR#ERV1,2.4204931,0.65673316,0.015499475420851875,0.25945200480455666
MER101#LTR#ERV1,2.4149513,0.5647842,0.01573731040676343,0.26291799919566106
LTR27E#LTR#ERV1,2.3874063,1.1843438,0.016967722648689097,0.2785986106969034
MER70-int#LTR#ERVL,2.3798928,1.3631333,0.017317674295946956,0.2831849382423691
AluSz6#SINE#Alu,2.3367832,0.06215801,0.019450459151229976,0.31245417072424564
PRNCR1,2.3067036,1.2815611,0.021071357801613042,0.3344723524993969
(ATTTTT)n#Simple_repeat#Simple_repeat,2.2871733,0.5555452,0.0221857149644062,0.3485730514156861
POU3F3,2.279823,1.2294065,0.022618185719469233,0.3539807863418573
LTR78#LTR#ERV1,2.2738745,0.56218606,0.02297352503449633,0.3581440356855229
MKRN1,2.2431774,1.0179304,0.02488536942521135,0.38436200788646924
MLT1B#LTR#ERVL-MaLR,2.2322938,0.16499358,0.02559554507762785,0.39321033541477635
MER4E1#LTR#ERV1,2.2140129,0.5449112,0.026827891880037924,0.4062277767454685
SVA_B#Retroposon#SVA,2.1748798,0.25061092,0.029639125893691887,0.43955336024863756
MER41A#LTR#ERV1,2.117306,0.29897675,0.034233894922723,0.48987946139239885
DNAJC27,2.113696,1.2193294,0.03454122514554266,0.4932654604609864
SNX27,2.1090806,0.23006113,0.034937630766977826,0.4974642198979911
(TTATTTT)n#Simple_repeat#Simple_repeat,2.0821748,1.1837415,0.03732651462215266,0.5222065353418818
SH3KBP1,2.0789173,0.48973545,0.03762495721343584,0.5235747377976403
LTR16E2#LTR#ERVL,2.0502067,0.65003395,0.04034427794411866,0.5536085449854148
(TTTTAAT)n#Simple_repeat#Simple_repeat,2.0441892,0.8049784,0.0409348639844604,0.5609447390023664
AluSx3#SINE#Alu,2.0433285,0.039709747,0.041019931157356776,0.561456140011058
(TTTTCTT)n#Simple_repeat#Simple_repeat,2.0171525,1.4979173,0.04367959130176112,0.5908828923196403
MER113#DNA#hAT-Charlie,2.0082264,0.22156084,0.0446192436791116,0.5999507694693692
SPATA16,1.9863974,1.5897357,0.0469892181168717,0.6242808779370734
DFFA,1.984992,0.2472412,0.04714536377839864,0.6255263090862581
STXBP3,1.9777834,0.21863055,0.0479531423181142,0.6349601157876916
HEMK1,1.9475838,0.9764652,0.05146477909786965,0.6673776787542631
CARMIL1,1.9370271,0.7167802,0.05274203674151765,0.6777791473665478
LTR7Y#LTR#ERV1,1.9126016,0.5885754,0.05579908200529576,0.7084610487917474
Kanga1a#DNA#TcMar-Tc2,1.8278096,0.46291283,0.06757814495350803,0.819274444370011
(TTGTTTT)n#Simple_repeat#Simple_repeat,1.8221625,0.8900391,0.06843032938924366,0.8274374207452093
BDNF-AS,1.8128295,1.3711247,0.06985811450670391,0.8380858011545895
SLC38A6,1.801009,1.6519603,0.07170146136661977,0.856657269057207
GALNT5,1.7836468,1.0564057,0.07448108054250804,0.8795300931262824
(TTTTTG)n#Simple_repeat#Simple_repeat,1.7671707,0.60293746,0.07719965692477102,0.9013970425322128
MAP7-AS1,1.7284043,0.93961334,0.08391576433553004,0.9531537614447156
ENPEP,1.7144266,1.1011508,0.08645039968932469,0.9693275240333229
ENSG00000231863,1.6881164,1.0721346,0.0913888909709964,0.9997630137517121
LRATD1,1.6758927,1.14857,0.09375920597917922,0.9997630137517121
RGPD4,1.672323,0.8127492,0.09446065454550352,0.9997630137517121
LTR41B#LTR#ERVL,1.669672,0.6908367,0.09498428429057967,0.9997630137517121
(TTCTT)n#Simple_repeat#Simple_repeat,1.6680814,0.6643706,0.09529957669691659,0.9997630137517121
ENSG00000232035,1.6619877,1.4300355,0.09651524187583421,0.9997630137517121
NIN,1.661265,0.59363383,0.09666023115779052,0.9997630137517121
L1PA15-16#LINE#L1,1.6612614,0.5131954,0.0966609601868496,0.9997630137517121
