names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
(A)n#Simple_repeat#Simple_repeat,11.924749,0.3752388,8.794865545827988e-33,2.1793676822561755e-29,(A)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(T)n#Simple_repeat#Simple_repeat,11.031243,0.3531086,2.70105819445407e-28,3.346611102928593e-25,(T)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
AluJr#SINE#Alu,7.711402,0.21231484,1.244428659983338e-14,7.709235548596778e-12,AluJr#SINE#Alu,SINE,Alu
AluJo#SINE#Alu,7.3678083,0.16938221,1.7345564280110977e-13,8.596461657223001e-11,AluJo#SINE#Alu,SINE,Alu
AluSx#SINE#Alu,7.177091,0.14533545,7.121011648095894e-13,2.940977810663604e-10,AluSx#SINE#Alu,SINE,Alu
ERV3-16A3_I-int#LTR#ERVL,6.996855,0.46820968,2.617721622953091e-12,9.266734545253942e-10,ERV3-16A3_I-int#LTR#ERVL,LTR,ERVL
L1HS#LINE#L1,6.6246614,0.29028752,3.4804438683831855e-11,1.0780674882316918e-08,L1HS#LINE#L1,LINE,L1
L1PA3#LINE#L1,6.5844526,0.3662441,4.5656448388140517e-11,1.2570742122868021e-08,L1PA3#LINE#L1,LINE,L1
AluSc8#SINE#Alu,6.189473,0.16094872,6.036563723200149e-10,1.495860490608997e-07,AluSc8#SINE#Alu,SINE,Alu
L1MA4A#LINE#L1,6.0837135,0.35100228,1.1743042600575932e-09,2.6453872331115595e-07,L1MA4A#LINE#L1,LINE,L1
AluJb#SINE#Alu,5.9689927,0.12340724,2.3872243804429627e-09,4.929618345614718e-07,AluJb#SINE#Alu,SINE,Alu
L1PA7#LINE#L1,5.432418,0.29826042,5.559559090583945e-08,1.0597374943436166e-05,L1PA7#LINE#L1,LINE,L1
L1PA6#LINE#L1,5.2216496,0.30789283,1.7733626606851393e-07,3.138851909412697e-05,L1PA6#LINE#L1,LINE,L1
L1PA4#LINE#L1,5.1416955,0.25551376,2.7227037533462203e-07,4.497906600527956e-05,L1PA4#LINE#L1,LINE,L1
MLT1A#LTR#ERVL-MaLR,4.766978,0.35786524,1.870097002058498e-06,0.0002896312731938099,MLT1A#LTR#ERVL-MaLR,LTR,ERVL-MaLR
(AT)n#Simple_repeat#Simple_repeat,4.612668,0.16353947,3.975326238728773e-06,0.0005794622599747001,(AT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
L1PA16#LINE#L1,4.5854983,0.2891849,4.529043951005438e-06,0.0006234983839217486,L1PA16#LINE#L1,LINE,L1
L1MA6#LINE#L1,4.3419104,0.2654157,1.412493011835297e-05,0.0018421882543830873,L1MA6#LINE#L1,LINE,L1
L1PA2#LINE#L1,4.311486,0.21756598,1.6216116620409573e-05,0.002009176849268746,L1PA2#LINE#L1,LINE,L1
L1P4#LINE#L1,4.187846,0.24735007,2.8161430239835834e-05,0.0029076676722630495,L1P4#LINE#L1,LINE,L1
L1P3#LINE#L1,4.111704,0.3387058,3.927496280403595e-05,0.003892934313136044,L1P3#LINE#L1,LINE,L1
L1PA8A#LINE#L1,4.051101,0.2557142,5.097715143006072e-05,0.004858514663218864,L1PA8A#LINE#L1,LINE,L1
GA-rich#Low_complexity#Low_complexity,3.9714653,0.20201719,7.143185733407382e-05,0.006555857128660554,GA-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
MER65C#LTR#ERV1,3.9570894,0.31278348,7.586851627315048e-05,0.0067143636901738175,MER65C#LTR#ERV1,LTR,ERV1
A-rich#Low_complexity#Low_complexity,3.94414,0.10889492,8.00868571875098e-05,0.006843283865884457,A-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
FRAM#SINE#Alu,3.8843508,0.19422476,0.00010260363797722944,0.008475060496919153,FRAM#SINE#Alu,SINE,Alu
SVA_D#Retroposon#SVA,3.8674889,0.20437723,0.00010996183730094044,0.008789852671991304,SVA_D#Retroposon#SVA,Retroposon,SVA
SVA_A#Retroposon#SVA,3.850627,0.37646598,0.00011781587146861569,0.009067982284701858,SVA_A#Retroposon#SVA,Retroposon,SVA
L1P1#LINE#L1,3.844578,0.27413508,0.00012076005463888673,0.009067982284701858,L1P1#LINE#L1,LINE,L1
L1PB1#LINE#L1,3.8145726,0.22474094,0.0001364187893299419,0.009942522351752825,L1PB1#LINE#L1,LINE,L1
AluSz6#SINE#Alu,3.678991,0.09630305,0.00023415844364566455,0.016330567051220657,AluSz6#SINE#Alu,SINE,Alu
MER101#LTR#ERV1,3.6756463,0.66122687,0.00023724794747536065,0.016330567051220657,MER101#LTR#ERV1,LTR,ERV1
MLT1K#LTR#ERVL-MaLR,3.600342,0.20655133,0.00031779871845351467,0.021283924981832684,MLT1K#LTR#ERVL-MaLR,LTR,ERVL-MaLR
L1MA9#LINE#L1,3.5676672,0.18053819,0.0003601734748563077,0.02339434964976174,L1MA9#LINE#L1,LINE,L1
ALR/Alpha#Satellite#centr,3.561892,0.3551779,0.000368191943640318,0.02339434964976174,ALR/Alpha#Satellite#centr,Satellite,centr
(TA)n#Simple_repeat#Simple_repeat,3.5478795,0.14710921,0.00038834583748356574,0.0240580246321069,(TA)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MLT1A1#LTR#ERVL-MaLR,3.5115032,0.324294,0.0004455799549698003,0.026289217343218218,MLT1A1#LTR#ERVL-MaLR,LTR,ERVL-MaLR
HAL1#LINE#L1,3.4707956,0.18583934,0.0005189188897871562,0.029224568383922112,HAL1#LINE#L1,LINE,L1
L1MDa#LINE#L1,3.3785462,0.19115806,0.0007287018025362737,0.03935878698302066,L1MDa#LINE#L1,LINE,L1
L1MA8#LINE#L1,3.377819,0.2336852,0.000730631235358737,0.03935878698302066,L1MA8#LINE#L1,LINE,L1
MLT1H#LTR#ERVL-MaLR,3.325824,0.21760051,0.0008815760534937102,0.046479690650157744,MLT1H#LTR#ERVL-MaLR,LTR,ERVL-MaLR
SSU-rRNA_Hsa#rRNA#rRNA,3.3122823,0.25424275,0.0009253809432855302,0.04777279119711549,SSU-rRNA_Hsa#rRNA#rRNA,rRNA,rRNA
L1PA5#LINE#L1,3.2941082,0.1860286,0.0009873451731536634,0.04893282678149556,L1PA5#LINE#L1,LINE,L1
MER48#LTR#ERV1,3.2883363,0.20315698,0.0010078139415551413,0.048967900924973336,MER48#LTR#ERV1,LTR,ERV1
tRNA-Gln-CAA_#tRNA#tRNA,-3.302224,-0.4101675,0.0009592142632774737,0.04850883560003224,tRNA-Gln-CAA_#tRNA#tRNA,tRNA,tRNA
G-rich#Low_complexity#Low_complexity,-3.478212,-0.31081665,0.0005047703757413747,0.029088860257840153,G-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
5S#rRNA#rRNA,-3.5217245,-0.46306983,0.00042874969121365416,0.025913213044571587,5S#rRNA#rRNA,rRNA,rRNA
(CTTTTT)n#Simple_repeat#Simple_repeat,-4.20547,-0.5416819,2.605402760674504e-05,0.002807038278674531,(CTTTTT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(ATTC)n#Simple_repeat#Simple_repeat,-4.2340903,-0.5628654,2.2947874747810325e-05,0.00258476516477609,(ATTC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(GCT)n#Simple_repeat#Simple_repeat,-4.2853513,-0.89103985,1.824505191039269e-05,0.0021529161254263377,(GCT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
