"Table S11 Cluster-enriched genes of the identified 3 clusters of donor 2019-010 with 10X Genomics single-cell RNA sequencing.","...2","...3","...4","...5","...6","...7"
"gene","p-value","avg_logFC","pct.1","pct.2","adjusted p-value","cluster"
"SORL1","1.34543315155233E-27","0.54188143467626104","0.56000000000000005","0.38200000000000001","1.8795701127186E-23","0"
"NEAT1","1.0717881977888999E-24","0.47174841716199101","0.56399999999999995","0.39300000000000002","1.4972881123110899E-20","0"
"MEF2C","3.9892249209707403E-15","0.26231213830255001","0.75800000000000001","0.64500000000000002","5.5729472145961199E-11","0"
"FYB1","4.9121276339427101E-10","0.35256297409674597","0.35699999999999998","0.26300000000000001","6.8622423046179701E-6","0"
"HSPA1B","1.2221582479121301E-8","0.53748804629733604","0.13900000000000001","7.9000000000000001E-2","1.7073550723332401E-4","0"
"TLN2","2.8845025534800899E-8","0.434785687519742","0.2","0.13200000000000001","4.0296500672116901E-4","0"
"PCM1","1.3667660766459799E-7","0.396232376586718","0.17899999999999999","0.115","1.90937220907443E-3","0"
"XIST","1.8910577486903299E-7","0.31505763095328798","0.39800000000000002","0.32100000000000001","2.6418076749203999E-3","0"
"N4BP2L2","2.11914991045244E-7","0.30293495504381202","0.53500000000000003","0.46500000000000002","2.9604524249020599E-3","0"
"BMP2K","4.4660433109111298E-7","0.28610898404302798","0.21099999999999999","0.14199999999999999","6.2390625053428501E-3","0"
"DDX17","6.6976611684196E-7","0.29808885158297399","0.307","0.23200000000000001","9.3566326522821798E-3","0"
"RNF213","8.01073724742039E-7","0.40647183104884899","0.153","0.1","1.11909999346463E-2","0"
"ARHGAP24","9.8524737939307806E-7","0.30652977144351101","0.32900000000000001","0.25800000000000001","1.3763905890121299E-2","0"
"PARP14","1.53828847165284E-6","0.40387775981861401","0.249","0.188","2.1489889948990201E-2","0"
"RBM25","3.3372132807441598E-6","0.36846729539585799","0.183","0.129","4.6620869531995998E-2","0"
"WSB1","3.62595812724374E-6","0.27955047760083201","0.33100000000000002","0.26100000000000001","5.0654635037595097E-2","0"
"BAZ2B","7.7015213724183401E-6","0.30137618948557499","0.158","0.106","0.10759025357268399","0"
