"Table S6 Cluster-enriched genes of the identified 7 clusters with bc-Smart-seq2 single-cell RNA sequencing.","...2","...3","...4","...5","...6","...7"
"gene","p-value","avg_logFC","pct.1","pct.2","adjusted p-value","cluster"
"HNRNPH1","2.1742083124763201E-35","0.35917556211116602","0.94399999999999995","0.93100000000000005","3.8742217920015499E-31","0"
"CALR","1.12891967525704E-26","0.40510784648425702","0.66400000000000003","0.60199999999999998","2.0116219693405201E-22","0"
"AXL","4.3082951415555304E-24","0.47742190737808698","0.58399999999999996","0.503","7.6769511127378102E-20","0"
"FGD2","4.5427299700975101E-24","0.41847486914718401","0.69599999999999995","0.64200000000000002","8.0946905337167499E-20","0"
"CYBB","6.2662600122917797E-24","0.33121784075072103","0.91400000000000003","0.89200000000000002","1.1165848715902699E-19","0"
"SRGAP2","2.6856897104934399E-14","0.251184330148296","0.83099999999999996","0.81","4.78563049512827E-10","0"
"C6orf62","4.4467446783500101E-14","0.38735909850670103","0.623","0.58799999999999997","7.9236543423518804E-10","0"
"ACTB","1.2657985462459701E-13","0.26905345625833899","0.90400000000000003","0.89","2.2555264295557002E-9","0"
"SRGAP2C","1.09987358283395E-12","0.27322969402694303","0.78","0.76600000000000001","1.9598647372518101E-8","0"
"SRSF6","5.2879159351943201E-12","0.341083938802624","0.76200000000000001","0.73299999999999998","9.4225374049227495E-8","0"
"SRGAP2B","7.1129374965695798E-12","0.26835647905083698","0.79100000000000004","0.77700000000000002","1.2674543325137301E-7","0"
"SRSF3","4.3933213694435001E-11","0.36020128686729103","0.55100000000000005","0.504","7.8284593482113705E-7","0"
"DHRS3","1.44411474671962E-9","0.40826384908826002","0.36","0.31900000000000001","2.5732680671797E-5","0"
"RNA5SP151","3.69822124148986E-9","0.41736056264535798","0.27500000000000002","0.24","6.5898604302107796E-5","0"
"GREM1","5.1287652595706199E-9","0.34551134677939199","0.622","0.70899999999999996","9.1389468160288994E-5","0"
"SERPINB9","1.1115874528377299E-8","0.32707459769261799","0.70799999999999996","0.69399999999999995","1.9807376822115601E-4","0"
"TMEM33","5.5536994606354002E-8","0.397925504883825","0.26500000000000001","0.224","9.8961370689062207E-4","0"
"PAN3","8.4644329749711696E-8","0.364158889936672","0.23599999999999999","0.186","1.50827731181011E-3","0"
"RIN2","8.5303636657830295E-8","0.29154361731897699","0.56200000000000006","0.52600000000000002","1.52002550160588E-3","0"
"CHP1","1.11286600535123E-7","0.31991012999402901","0.312","0.28100000000000003","1.9830159349353599E-3","0"
"CDC42","1.25317051658723E-7","0.28204149542398599","0.51800000000000002","0.47199999999999998","2.23302454350679E-3","0"
"CTNNB1","1.3656004057742701E-7","0.25249008936831802","0.755","0.73099999999999998","2.4333633630491602E-3","0"
"TSPYL1","1.4735317883535201E-7","0.40050844216863202","0.27800000000000002","0.23400000000000001","2.62568629366713E-3","0"
"CLEC7A","2.4263835177789701E-7","0.33435443018410999","0.57299999999999995","0.54500000000000004","4.3235727903303501E-3","0"
"ETNK1","3.0719251361966701E-7","0.306531468140333","0.33400000000000002","0.29499999999999998","5.4738634001888498E-3","0"
"RAP2B","5.0876213595954897E-7","0.38674269547594198","0.29299999999999998","0.26500000000000001","9.0656325006632007E-3","0"
"MDM4","1.51077583041786E-6","0.32313435360959297","0.41799999999999998","0.4","2.6920514522215801E-2","0"
"RBM6","2.9206598801291598E-6","0.30271782987740498","0.626","0.624","5.2043238404021502E-2","0"
"COLGALT1","3.0758767715211499E-6","0.35829028585985001","0.33100000000000002","0.29899999999999999","5.4809048191735397E-2","0"
"MARCH6","3.7425222676405701E-6","0.328035000014963","0.29299999999999998","0.25700000000000001","6.6688004287087405E-2","0"
"FLCN","3.9559264064390697E-6","0.30051371291888301","0.41099999999999998","0.374","7.0490652636337706E-2","0"
"ITGAX","5.26543008565558E-6","0.31138148980841701","0.70099999999999996","0.69799999999999995","9.3824698696296796E-2","0"
"ARPC4","5.8720467202169598E-6","0.29922916023194901","0.44500000000000001","0.41099999999999998","0.104634000507546","0"
"SMU1","7.9911631671103097E-6","0.36234019766863801","0.253","0.23400000000000001","0.14239453647473899","0"
"PAQR7","1.18212491807041E-5","0.340069887656547","0.20100000000000001","0.16900000000000001","0.21064283915096699","0"
"PSMA3-AS1","2.3980250721114101E-5","0.288020684058862","0.34300000000000003","0.32200000000000001","0.42730408759953198","0"
"WTAP","2.4016229268207699E-5","0.31451045871162198","0.503","0.47199999999999998","0.42794518933019299","0"
"TMED2","2.49641668904498E-5","0.30955672296208198","0.372","0.35399999999999998","0.444836489820925","0"
"DNAJC3","3.4388537160119597E-5","0.32124949251579799","0.37","0.33200000000000002","0.61276934365617097","0"
"EGR1","6.2178546406138001E-5","0.40127711201198102","0.222","0.21099999999999999","1","0"
"PPP1CB","7.2638725819781995E-5","0.308085260216171","0.56599999999999995","0.54600000000000004","1","0"
"B4GALT1","8.1485153663921102E-5","0.28540969071157501","0.55600000000000005","0.54500000000000004","1","0"
"TLE3","8.8409569549222306E-5","0.26633102470977099","0.20599999999999999","0.17899999999999999","1","0"
"APOBEC3C","9.3391365542508698E-5","0.29494806906289101","0.26600000000000001","0.24399999999999999","1","0"
"ARF6","1.16017426862805E-4","0.32267206098907802","0.28699999999999998","0.27400000000000002","1","0"
"RETREG2","1.19321351882795E-4","0.38565432179700598","0.123","0.107","1","0"
"PRPF39","1.52164238014389E-4","0.30384838152944899","0.318","0.29099999999999998","1","0"
"TOB1","2.00468286109526E-4","0.31045269525100699","0.14000000000000001","0.121","1","0"
"C16orf54","2.5869327794714398E-4","0.37512076217020202","0.128","0.107","1","0"
"STT3A","3.1469503034507702E-4","0.31285596373384","0.29299999999999998","0.27600000000000002","1","0"
"CTBP1","3.6778449405228797E-4","0.26521355933010798","0.34599999999999997","0.32800000000000001","1","0"
"EIF2S3","3.7611876499275902E-4","0.26936874935228899","0.437","0.42299999999999999","1","0"
"SET","4.30826621470945E-4","0.27862488801595497","0.60499999999999998","0.59299999999999997","1","0"
"SLC39A11","4.44408708409891E-4","0.281359689407566","0.105","0.08","1","0"
"TMED4","4.5737188349091599E-4","0.33746815587599799","0.34699999999999998","0.318","1","0"
"ANKRD10","5.7709354869835703E-4","0.31345530977017999","0.36299999999999999","0.35599999999999998","1","0"
"SENP5","8.1793791458403397E-4","0.32908287749106102","0.17499999999999999","0.16","1","0"
"R3HDM2","9.3907240713238596E-4","0.32599747430707698","0.30199999999999999","0.27600000000000002","1","0"
"TOR1AIP2","1.0094095061083099E-3","0.34068631665660698","0.26","0.246","1","0"
"PSMG3","1.05257162957808E-3","0.28494010624252902","0.126","0.107","1","0"
