"Table S7 Average scaled expression for and percentage of cells expressing selected genes in clusters identified with bc-Smart-seq2 single-cell RNA sequencing (related to Fig 3D).","...2","...3","...4"
"gene","cluster","scaled.avg.exp","fraction.exp"
"LYZ","0","-0.40971568734011199","8.4127740705433704E-2"
"CTSZ","0","0.58794625095453201","1.6205910390848399E-2"
"LPL","0","1.15789358489115E-2","1.19161105815062E-2"
"CTSD","0","-0.29097757943461","0.13965681601525301"
"CTSB","0","0.1815294627399","0.62059103908484303"
"C1QB","0","0.17102268470663301","0.55076263107721601"
"C1QA","0","-0.110640055246759","0.39323164918970399"
"SPP1","0","0.778661877799667","0.83794089609151601"
"B2M","0","-0.30244849999615198","0.73427073403241205"
"APOE","0","-1.8319553108631901","0.381077216396568"
"CSF1R","0","-0.24514182385338701","0.43493803622497601"
"CX3CR1","0","-0.621583481208271","0.25381315538608201"
"ITGAM","0","-0.56636219944778399","6.9113441372735895E-2"
"TMEM163","0","0.115419368800268","1.40610104861773E-2"
"VSIR","0","0.36930773918007298","0.140610104861773"
"ADGRG1","0","0.44078668349959699","0.25571973307912299"
"P2RY12","0","0.43610753359444399","0.129408960915157"
"TMEM119","0","-6.7556048613150399E-2","7.53098188751192E-2"
"FRG1","0","-0.38446040561975298","5.2192564346997102E-2"
"SERF1A","0","-0.38711671670217401","4.2897998093422299E-3"
"MEF2C","0","-0.59181184437968104","0.30219256434699698"
"SMIM11A","0","-0.382453386396644","1.2392755004766399E-2"
"HLA-DPB1","0","-0.12668028122177799","0.22759771210676799"
"CD63","0","-0.48499245914132","0.234270734032412"
"GLUL","0","0.45268419873746801","0.23832221163012399"
"TREM2","0","-0.41582978666776399","0.165872259294566"
"NEAT1","0","0.27916058093396201","0.71663489037178296"
"ZNF302","0","-0.123211551129167","0.55791229742612003"
"FGD2","0","1.5389954404216299","0.69566253574833203"
"AXL","0","0.63529970197291397","0.58388941849380405"
"LYZ","1","-0.620411634772294","7.45211230648124E-2"
"CTSZ","1","0.60614071932084002","1.39071109944896E-2"
"LPL","1","2.3547251074790099E-3","1.39071109944896E-2"
"CTSD","1","-0.31571898472999999","0.151666229336132"
"CTSB","1","-1.0727499629709401","0.62267121490422495"
"C1QB","1","0.33575581559172202","0.58488585673051696"
"C1QA","1","-0.460673396780091","0.39595906586197799"
"SPP1","1","-0.31451260128084102","0.86958803463657797"
