"Table S8 GO terms associated with the cluster-enriched genes of bc-Smart-seq2 single-cell RNA sequencing (related to Fig S5).","...2","...3","...4","...5","...6","...7","...8","...9","...10"
"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Cluster0","GO:0046847","filopodium assembly","5/62","59/18670","1.49442541448965E-6","3.3609627571872299E-3","2.4083845364038501E-3","FGD2/SRGAP2/SRGAP2C/CDC42/ARF6","5"
"Cluster0","GO:0040013","negative regulation of locomotion","9/62","396/18670","5.96094925957944E-6","6.7030874423970902E-3","4.8032701665347999E-3","CALR/SRGAP2/SRGAP2C/SRGAP2B/GREM1/RAP2B/FLCN/TRIM13/WNT5A","9"
"Cluster0","GO:0045807","positive regulation of endocytosis","6/62","153/18670","1.15593697466635E-5","8.6656741867487102E-3","6.2096123095234301E-3","CALR/AXL/GREM1/CLEC7A/PPP3CA/WNT5A","6"
"Cluster1","GO:0008380","RNA splicing","13/63","469/18670","4.4834414623917004E-9","6.0167784425296701E-6","4.9601020810249303E-6","HSPA1A/PRPF38B/ZNF638/ZC3H13/PRPF4B/SETX/SRRM2/MBNL1/TRA2B/SRSF11/SCAF11/RBM25/RBM5","13"
"Cluster1","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","9/63","379/18670","4.7890039932589903E-6","1.3270814102388799E-3","1.0940172265754601E-3","PRPF4B/SETX/SRRM2/MBNL1/TRA2B/SRSF11/SCAF11/RBM25/RBM5","9"
"Cluster1","GO:0000398","mRNA splicing, via spliceosome","9/63","379/18670","4.7890039932589903E-6","1.3270814102388799E-3","1.0940172265754601E-3","PRPF4B/SETX/SRRM2/MBNL1/TRA2B/SRSF11/SCAF11/RBM25/RBM5","9"
"Cluster1","GO:0000375","RNA splicing, via transesterification reactions","9/63","382/18670","5.1046845965532701E-6","1.3270814102388799E-3","1.0940172265754601E-3","PRPF4B/SETX/SRRM2/MBNL1/TRA2B/SRSF11/SCAF11/RBM25/RBM5","9"
"Cluster1","GO:0043484","regulation of RNA splicing","6/63","135/18670","6.1938883312235204E-6","1.3270814102388799E-3","1.0940172265754601E-3","HSPA1A/SETX/MBNL1/TRA2B/RBM25/RBM5","6"
"Cluster1","GO:0034605","cellular response to heat","6/63","137/18670","6.74115794281341E-6","1.3270814102388799E-3","1.0940172265754601E-3","HSP90AA2P/HSP90AA1/DNAJB1/HSPA1A/HSP90AB1/TPR","6"
"Cluster1","GO:1900034","regulation of cellular response to heat","5/63","79/18670","6.9221832128704399E-6","1.3270814102388799E-3","1.0940172265754601E-3","HSP90AA1/DNAJB1/HSPA1A/HSP90AB1/TPR","5"
"Cluster1","GO:0009408","response to heat","6/63","176/18670","2.8051523875671701E-5","4.7056431301439198E-3","3.8792304728067E-3","HSP90AA2P/HSP90AA1/DNAJB1/HSPA1A/HSP90AB1/TPR","6"
"Cluster1","GO:0051131","chaperone-mediated protein complex assembly","3/63","19/18670","3.4140224029502999E-5","5.0906867386214501E-3","4.1966521000009003E-3","HSP90AA1/HSPA1A/HSP90AB1","3"
"Cluster1","GO:0060008","Sertoli cell differentiation","3/63","20/18670","4.0068329504723003E-5","5.3771698195338299E-3","4.4328225588909399E-3","ATRX/ARID4B/SAFB2","3"
"Cluster1","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","4/63","65/18670","6.8303337164037303E-5","8.3330071340125492E-3","6.8695509434835598E-3","MBNL1/TRA2B/RBM25/RBM5","4"
"Cluster2","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","22/131","105/18670","9.8472491736432001E-27","2.5041554648574599E-23","1.9912174381651101E-23","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RPS27A/RPS17/SEC61B","22"
"Cluster2","GO:0006613","cotranslational protein targeting to membrane","22/131","109/18670","2.4063875653361599E-26","3.05972178932492E-23","2.4329844805319801E-23","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RPS27A/RPS17/SEC61B","22"
"Cluster2","GO:0045047","protein targeting to ER","22/131","118/18670","1.57746750436463E-25","1.3371666211997501E-22","1.06326844767876E-22","RPL3/RPL18A/RPS14/RPS2/RPS6/RPL13/RPS3/RPL19/RPLP1/RPS18/RPS15/RPL35/RPL32/RPL8/RPLP0/RPL37A/RPL10/RPL7/UBA52/RPS27A/RPS17/SEC61B","22"
