feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type,significance,regulation,abs_log2FC
MSMO1,13.2092387979457,-23.8640822378699,2.84829394412663,-8.37837762042753,5.36622394593444e-17,3.04157573255564e-13,Gene,padj < 0.001,Down in AD,23.8640822378699
ARHGAP15,33.07489086574,3.07772254056194,0.650726634155502,4.72967046224585,2.24884566038972e-06,0.00157596858831938,Gene,padj < 0.01,Up in AD,3.07772254056194
Chap1_Mam#DNA#hAT-Charlie,16.4657936809685,3.05733784730274,0.637624258657134,4.79488947572608,1.62764544393531e-06,0.00157596858831938,TE,padj < 0.01,Up in AD,3.05733784730274
DARS1,50.0516882762449,-3.11758047397457,0.656491007026515,-4.74885480624512,2.04571739136846e-06,0.00157596858831938,Gene,padj < 0.01,Down in AD,3.11758047397457
ENSG00000289750,15.5185428230407,6.8600101516879,1.39474044493301,4.91848513937473,8.72165370116044e-07,0.00157596858831938,Gene,padj < 0.01,Up in AD,6.8600101516879
KDM1A,40.9719937305176,6.10963360579305,1.24925651628279,4.89061575918171,1.00521021073864e-06,0.00157596858831938,Gene,padj < 0.01,Up in AD,6.10963360579305
MIR181A1HG,10.4736251806108,-6.10355805405041,1.26706510728527,-4.81708320981825,1.45671951365681e-06,0.00157596858831938,Gene,padj < 0.01,Down in AD,6.10355805405041
TSIX,28.6457328947491,7.74648397279597,1.6428429262232,4.71529191814137,2.41364448796473e-06,0.00157596858831938,Gene,padj < 0.01,Up in AD,7.74648397279597
XIST,32.9017490765152,7.4622686169818,1.58504157024007,4.70793243350176,2.50242012965322e-06,0.00157596858831938,Gene,padj < 0.01,Up in AD,7.4622686169818
AVIL,11.0973871059296,-5.27494088626132,1.14944369811097,-4.58912506539495,4.45107703014907e-06,0.00252287046068849,Gene,padj < 0.01,Down in AD,5.27494088626132
INTS3,30.3704837092924,4.94814114608815,1.1055766071626,4.47562033605911,7.6189771167423e-06,0.00359869685814128,Gene,padj < 0.01,Up in AD,4.94814114608815
MER70A#LTR#ERVL,72.5401259313094,-2.21144695516861,0.49231758868406,-4.49191133121955,7.0586812731089e-06,0.00359869685814128,TE,padj < 0.01,Down in AD,2.21144695516861
GATAD2B,18.5024298362634,6.63130506534058,1.49021599352013,4.44989524617594,8.5912183506262e-06,0.00363710593723154,Gene,padj < 0.01,Up in AD,6.63130506534058
L1M3d#LINE#L1,19.3986254007273,6.21333216307713,1.39930701515675,4.44029229881415,8.98367733261143e-06,0.00363710593723154,TE,padj < 0.01,Up in AD,6.21333216307713
GAB2,7.51711914467642,5.32387144153023,1.23008028943693,4.32806824664042,1.50422863229613e-05,0.00568397859190299,Gene,padj < 0.01,Up in AD,5.32387144153023
CDC5L,22.9547047948815,4.46641083887267,1.04911174277431,4.25732613292606,2.06886443664025e-05,0.00609755073416959,Gene,padj < 0.01,Up in AD,4.46641083887267
COA1,10.6011715442219,5.3369413425318,1.26253971683531,4.2271472899953,2.36672752561275e-05,0.00609755073416959,Gene,padj < 0.01,Up in AD,5.3369413425318
HSPA6,78.2395155206873,4.92243311454609,1.1606799266567,4.24099099286141,2.22535067941574e-05,0.00609755073416959,Gene,padj < 0.01,Up in AD,4.92243311454609
JUN,68.7699878965237,5.23653046720271,1.22016564291905,4.29165539743864,1.77346025089706e-05,0.00609755073416959,Gene,padj < 0.01,Up in AD,5.23653046720271
PTPN14,12.1588979846945,5.53780979066429,1.30706023730259,4.23684359191648,2.26683926019842e-05,0.00609755073416959,Gene,padj < 0.01,Up in AD,5.53780979066429
RPS6KA1,52.1109167017373,3.81156231426377,0.889698107750954,4.28410747539851,1.83474212300562e-05,0.00609755073416959,Gene,padj < 0.01,Up in AD,3.81156231426377
WDFY1,14.2712785987862,6.2536150296272,1.47245539433365,4.24706585591154,2.16588311174136e-05,0.00609755073416959,Gene,padj < 0.01,Up in AD,6.2536150296272
SELPLG,14.9305327596654,3.61089222124367,0.858855251552023,4.2043082518486,2.61881838165454e-05,0.00645367938574692,Gene,padj < 0.01,Up in AD,3.61089222124367
COG5,8.69392443665104,6.02664133138257,1.44078105838675,4.18289878000662,2.87815556173113e-05,0.00679724405162168,Gene,padj < 0.01,Up in AD,6.02664133138257
GSTM4,12.6942968374714,6.57246933485818,1.58322362726613,4.15132090101976,3.30561890968658e-05,0.00749449919204141,Gene,padj < 0.01,Up in AD,6.57246933485818
JAK1,198.572015421174,3.05984706009509,0.742555891728229,4.12069595592809,3.77729638690349e-05,0.00770969234932452,Gene,padj < 0.01,Up in AD,3.05984706009509
KLC1,9.506780840874,5.66806536928886,1.37885660505645,4.11069965397658,3.94462029164451e-05,0.00770969234932452,Gene,padj < 0.01,Up in AD,5.66806536928886
MER61B#LTR#ERV1,20.3872114593895,3.9111326794495,0.95088398329008,4.11315444174051,3.90289087187772e-05,0.00770969234932452,TE,padj < 0.01,Up in AD,3.9111326794495
NDC1,45.4280371466932,-8.81669473404612,2.134966327552,-4.12966453862321,3.63292927915239e-05,0.00770969234932452,Gene,padj < 0.01,Down in AD,8.81669473404612
CACNA1D,26.1275685413721,3.45371737450594,0.856176723369372,4.03388375347824,5.48624664965546e-05,0.0103653486700824,Gene,padj < 0.05,Up in AD,3.45371737450594
GIPC2,11.7121059959278,-7.71726971091701,1.91781437398735,-4.02399200652143,5.72198600328921e-05,0.0104620053763365,Gene,padj < 0.05,Down in AD,7.71726971091701
NUB1,14.9787356597949,6.81131009257017,1.69701823377627,4.01369293328887,5.97760999642901e-05,0.0105878417061749,Gene,padj < 0.05,Up in AD,6.81131009257017
PCYOX1,18.4741968865779,6.14311512713922,1.53529892168657,4.00125020630563,6.30086882908348e-05,0.0108222195524985,Gene,padj < 0.05,Up in AD,6.14311512713922
DPY30,38.6427136007261,3.08510085696702,0.774081360155012,3.98549947818046,6.73383252900845e-05,0.0112256949336529,Gene,padj < 0.05,Up in AD,3.08510085696702
MDN1,6.82791159266552,4.68709664969119,1.1966509342932,3.91684535178139,8.97152597489793e-05,0.0145287454930633,Gene,padj < 0.05,Up in AD,4.68709664969119
EEIG2,54.0020658215453,3.1748725613709,0.81843205154699,3.87921337558786,0.000104794801369542,0.0160534306530422,Gene,padj < 0.05,Up in AD,3.1748725613709
MER4A1#LTR#ERV1,72.5904019008666,-3.12356698503709,0.805014899902831,-3.88013561663781,0.000104398238750432,0.0160534306530422,TE,padj < 0.05,Down in AD,3.12356698503709
FLI1,7.86549899986519,3.04355837263775,0.787733170705271,3.86369202900622,0.000111686017637358,0.0162317012299626,Gene,padj < 0.05,Up in AD,3.04355837263775
PCGF3,11.9075465895453,3.13366982296696,0.810907800083197,3.86439718873768,0.000111363883449283,0.0162317012299626,Gene,padj < 0.05,Up in AD,3.13366982296696
IFNGR1,127.233311198236,1.60490270473081,0.417937259523792,3.840056535183,0.000123005980445303,0.0174299474290995,Gene,padj < 0.05,Up in AD,1.60490270473081
Charlie4a#DNA#hAT-Charlie,194.676042552135,-2.70273198716238,0.708614153968477,-3.81410951506709,0.000136674853768586,0.0175643943941645,TE,padj < 0.05,Down in AD,2.70273198716238
LYPLAL1,20.3273039303994,7.25126299066173,1.90178090366978,3.81288032531471,0.000137356631378269,0.0175643943941645,Gene,padj < 0.05,Up in AD,7.25126299066173
RAP2B,223.134069994405,-1.94343149813106,0.510201733750792,-3.8091432654369,0.000139449143919796,0.0175643943941645,Gene,padj < 0.05,Down in AD,1.94343149813106
SIGLEC8,12.1201828009024,2.59385952658896,0.677738488343116,3.8272277157082,0.000129594614406588,0.0175643943941645,Gene,padj < 0.05,Up in AD,2.59385952658896
STT3A,14.919491353197,-2.28428207477817,0.59919827274512,-3.81223074010734,0.000137718220424655,0.0175643943941645,Gene,padj < 0.05,Down in AD,2.28428207477817
LIN7C,17.7147587277229,-5.16529474876482,1.3592399321214,-3.80013463899874,0.000144617493074295,0.0178193902335893,Gene,padj < 0.05,Down in AD,5.16529474876482
LYAR,6.15596514549867,5.52990396389613,1.46308367357173,3.77962249445128,0.000157066309284124,0.0181684049188248,Gene,padj < 0.05,Up in AD,5.52990396389613
MCL1,95.6501235530796,-3.54737277998467,0.938218564508872,-3.78096630590721,0.000156220818493692,0.0181684049188248,Gene,padj < 0.05,Down in AD,3.54737277998467
MER4E1#LTR#ERV1,93.8955505728681,-3.30691026841436,0.874274273809571,-3.78246320117004,0.000155284055464154,0.0181684049188248,TE,padj < 0.05,Down in AD,3.30691026841436
SOX2-OT,22.6145167275335,-3.08417097060211,0.818253064808587,-3.76921407721655,0.000163762386390361,0.0185641041212113,Gene,padj < 0.05,Down in AD,3.08417097060211
FOSL2,29.4126522691158,-1.90654051787695,0.510713286916999,-3.73309362947277,0.000189142244191583,0.0210207498054488,Gene,padj < 0.05,Down in AD,1.90654051787695
EZH1,7.53793559451464,4.83466122843115,1.3016672308734,3.71420676019257,0.000203842085292149,0.0222187872968442,Gene,padj < 0.05,Up in AD,4.83466122843115
IRAK3,7.72614721360115,3.05678008079773,0.827544802580874,3.6937940656077,0.000220932746841037,0.0229754446922886,Gene,padj < 0.05,Up in AD,3.05678008079773
PIK3AP1,6.3791197980645,4.59449455601765,1.24361967271471,3.69445310075247,0.000220360559478388,0.0229754446922886,Gene,padj < 0.05,Up in AD,4.59449455601765
SLC6A1,13.6715478927816,-1.62493677818166,0.440184573141665,-3.6914896098794,0.000222944505659117,0.0229754446922886,Gene,padj < 0.05,Down in AD,1.62493677818166
CRTAP,18.4101625130934,3.96751466595403,1.08360659380731,3.6613976775593,0.000250843043305151,0.0249434801658526,Gene,padj < 0.05,Up in AD,3.96751466595403
WASH9P,18.157688294,7.08839903155531,1.93418445881851,3.66479991049314,0.000247532025985242,0.0249434801658526,Gene,padj < 0.05,Up in AD,7.08839903155531
NSUN5P2,6.87740191418826,4.69471811458934,1.29057922382869,3.63768300923192,0.000275101711062902,0.0268840775569747,Gene,padj < 0.05,Up in AD,4.69471811458934
MSI2,4.24859801626052,4.99071567714714,1.3810361789851,3.61374723782741,0.000301803293078356,0.0289935773757309,Gene,padj < 0.05,Up in AD,4.99071567714714
NLRP1,5.57092212234524,4.89049238537705,1.3552319300024,3.60860180247405,0.0003078517094668,0.0290817248209637,Gene,padj < 0.05,Up in AD,4.89049238537705
CSF3R,165.038767616093,2.8028899616569,0.779713822861477,3.59476756660611,0.000324681313674534,0.0297093401637162,Gene,padj < 0.05,Up in AD,2.8028899616569
SMIM12,42.0072723197077,3.10634430872613,0.864573816629659,3.59291971255328,0.000326993363642717,0.0297093401637162,Gene,padj < 0.05,Up in AD,3.10634430872613
TTC13,9.61128776642705,6.17124388220557,1.71883658383525,3.59036102689625,0.000330220259406161,0.0297093401637162,Gene,padj < 0.05,Up in AD,6.17124388220557
PFDN2,35.7613462218691,4.54145937991366,1.26700437240133,3.58440703034538,0.000337844876142596,0.0299203868433787,Gene,padj < 0.05,Up in AD,4.54145937991366
(TGAA)n#Simple_repeat#Simple_repeat,57.8287526806517,-1.58257966092935,0.443065352985991,-3.57188764651472,0.000354417463531995,0.0299826594522291,TE,padj < 0.05,Down in AD,1.58257966092935
KLHL18,7.8679728938584,5.88235416865397,1.64598967799343,3.57374912327819,0.000351906114301386,0.0299826594522291,Gene,padj < 0.05,Up in AD,5.88235416865397
MAP3K2,67.648440653948,2.57613267359201,0.719663387133238,3.57963559026391,0.000344073684120353,0.0299826594522291,Gene,padj < 0.05,Up in AD,2.57613267359201
ENSG00000254732,4.37372145488455,4.5304033476269,1.27988390215434,3.53969867110695,0.000400584130854327,0.0333898654953284,Gene,padj < 0.05,Up in AD,4.5304033476269
GOLGA4,276.216945346162,-2.26988281256533,0.643227138292288,-3.52889776788907,0.000417294302122604,0.0336133625812623,Gene,padj < 0.05,Down in AD,2.26988281256533
IQGAP1,19.6335901439561,-4.57022302337771,1.29595770410555,-3.52652174442067,0.000421056588438537,0.0336133625812623,Gene,padj < 0.05,Down in AD,4.57022302337771
WASH7P,46.7698105594101,4.64651187522348,1.31727337867842,3.527370969787,0.000419708269900993,0.0336133625812623,Gene,padj < 0.05,Up in AD,4.64651187522348
YWHAQ,8.97827556457531,6.07363349555661,1.73045647468418,3.50984470537757,0.000448368475585058,0.0352965627724459,Gene,padj < 0.05,Up in AD,6.07363349555661
UBC,46.4258466438392,2.35570571444412,0.673320958595915,3.49863714231695,0.000467642524159878,0.0363095592731258,Gene,padj < 0.05,Up in AD,2.35570571444412
LY75,9.61269175828723,6.17206698785379,1.77215034352235,3.48281228532004,0.000496176144422721,0.0380044106295673,Gene,padj < 0.05,Up in AD,6.17206698785379
G-rich#Low_complexity#Low_complexity,209.117845450551,-2.3699083229458,0.68375461438362,-3.46602168832481,0.000528220668236603,0.0399193966342009,TE,padj < 0.05,Down in AD,2.3699083229458
(CTAT)n#Simple_repeat#Simple_repeat,50.0339915667266,3.42929227589102,0.9925709679967,3.4549592789444,0.000550375940914199,0.0410464583302853,TE,padj < 0.05,Up in AD,3.42929227589102
MamGypLTR1d#LTR#Gypsy,8.33563952600299,3.51041402719807,1.01774986765115,3.44919133745475,0.000562268136460982,0.0411008692702442,TE,padj < 0.05,Up in AD,3.51041402719807
PWP1,5.62001786782359,4.903546754982,1.42231074056041,3.44759173586071,0.000565608292709782,0.0411008692702442,Gene,padj < 0.05,Up in AD,4.903546754982
DCP1A,17.0838504125316,4.50439660660078,1.3082585246434,3.44304777821232,0.000575197685069786,0.0412686136579183,Gene,padj < 0.05,Up in AD,4.50439660660078
ENO4,5.00714879222403,3.77184571796303,1.10095190390334,3.42598591690541,0.000612572142737967,0.0428649247535654,Gene,padj < 0.05,Up in AD,3.77184571796303
ENSG00000282988,11.0091445372533,6.36696559974463,1.85813089639649,3.42654309881624,0.000611316740129972,0.0428649247535654,Gene,padj < 0.05,Up in AD,6.36696559974463
ATG4C,38.7558465760822,4.09845254361509,1.19842794309754,3.4198572949008,0.000626539939750535,0.0433076631525126,Gene,padj < 0.05,Up in AD,4.09845254361509
ENSG00000288534,5.45826067595556,3.37225444015205,0.987700878389298,3.41424667521951,0.000639586401527212,0.0436768159500752,Gene,padj < 0.05,Up in AD,3.37225444015205
CHROMR,26.7067166194143,3.15515169491855,0.927994547142086,3.39996792506526,0.000673937582362947,0.0448064622326091,Gene,padj < 0.05,Up in AD,3.15515169491855
ENSG00000287387,219.078296010407,1.91990995318089,0.564566890079204,3.4006775581748,0.000672190653021406,0.0448064622326091,Gene,padj < 0.05,Up in AD,1.91990995318089
FOXJ3,24.5619855887578,5.91228008179779,1.74467036693724,3.38876626429826,0.000702078284377654,0.0448064622326091,Gene,padj < 0.05,Up in AD,5.91228008179779
MINDY2,8.83398352885226,4.20164653026322,1.23928237382702,3.39038674235974,0.000697940866701762,0.0448064622326091,Gene,padj < 0.05,Up in AD,4.20164653026322
PTCD3,25.6489843480753,2.74539262544385,0.810283370065788,3.38818828926595,0.000703559481069549,0.0448064622326091,Gene,padj < 0.05,Up in AD,2.74539262544385
