Sample,Condition
SRR11272119,AD
SRR11272120,CTR
SRR11272121,CTR
SRR11272122,CTR
SRR11272123,CTR+
SRR11272124,AD
SRR11272126,MCI
SRR11272127,CTR
SRR11272128,CTR+
SRR11272129,AD
SRR11272130,AD
SRR11272133,CTR+
SRR11272134,AD
SRR11272135,MCI
SRR11272136,CTR+
SRR11272137,AD
SRR11272138,AD
SRR11272139,MCI
SRR11272140,CTR+
SRR11272141,CTR+
SRR11272142,CTR
SRR11272182,CTR
SRR11272183,AD
SRR11272184,CTR
SRR11272185,AD
SRR11272186,AD
SRR11272187,CTR
SRR11272188,AD
SRR11272189,CTR
SRR11272190,MCI
SRR11272191,AD
