Sample	Success	Unique%	Multi%	CB_Tags	UB_Tags	BAM_File
SRR11271993	True	76.42%	11.12%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11271993/SRR11271993_Aligned.sortedByCoord.out.bam
SRR11271994	True	71.53%	9.91%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11271994/SRR11271994_Aligned.sortedByCoord.out.bam
SRR11271995	True	77.63%	11.52%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11271995/SRR11271995_Aligned.sortedByCoord.out.bam
SRR11271996	True	74.80%	11.67%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11271996/SRR11271996_Aligned.sortedByCoord.out.bam
SRR11271997	True	77.46%	10.45%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11271997/SRR11271997_Aligned.sortedByCoord.out.bam
SRR11271998	True	78.72%	10.32%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11271998/SRR11271998_Aligned.sortedByCoord.out.bam
SRR11271999	True	80.36%	10.72%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11271999/SRR11271999_Aligned.sortedByCoord.out.bam
SRR11272000	True	79.50%	11.01%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11272000/SRR11272000_Aligned.sortedByCoord.out.bam
SRR11272001	True	77.22%	13.18%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11272001/SRR11272001_Aligned.sortedByCoord.out.bam
SRR11272002	True	79.30%	12.13%	✓ Present (1000/1000)	✓ Present (1000/1000)	/home/jacobc/hcaTE/aligned_bams/SRR11272002/SRR11272002_Aligned.sortedByCoord.out.bam
