sample	total_reads	unique_pct	multi_pct	unmapped_pct	cells	total_features	total_counts	avg_counts_per_cell	avg_features_per_cell	median_features_per_cell	min_counts_per_cell	max_counts_per_cell
SRR11271993	23299711	76.42	11.12	11.75	84	76393	758940	9035	681	693	1232	17530
SRR11271994	22751755	71.53	9.91	17.89	84	76393	725648	8638	703	706	436	17479
SRR11271995	18656969	77.63	11.52	10.18	84	76393	750035	8928	691	703	616	17604
SRR11271996	20361978	74.80	11.67	12.82	84	76393	695874	8284	689	685	1220	17493
SRR11271997	12752087	77.46	10.45	11.41	81	76393	738365	9115	862	844	1278	17376
SRR11271998	19786233	78.72	10.32	10.19	83	76393	827546	9970	761	764	1339	17364
SRR11271999	14482143	80.36	10.72	8.19	81	76393	754664	9316	775	771	1318	17003
SRR11272000	9817061	79.50	11.01	8.74	77	76393	659334	8562	772	778	804	17832
SRR11272001	12660017	77.22	13.18	8.72	83	76393	544116	6555	642	625	881	18309
SRR11272002	17609613	79.30	12.13	7.70	84	76393	633932	7546	664	671	1385	17865
SRR11272003	13281142	79.29	11.88	8.01	84	76393	595843	7093	607	610	1147	15856
SRR11272004	21379682	81.02	11.33	6.90	84	76393	681427	8112	641	658	1724	18580
SRR11272006	17032582	71.66	12.00	15.35	60	76393	486681	8111	522	506	686	19854
SRR11272007	15589251	76.26	11.31	11.59	84	76393	686737	8175	492	467	705	17797
SRR11272008	18217214	76.34	11.57	11.26	84	76393	667590	7947	533	520	864	19413
SRR11272009	921148	68.36	12.44	18.47	77	76393	204576	2656	320	308	584	10828
SRR11272013	26484819	71.74	9.53	18.11	84	76393	869262	10348	579	595	1483	19716
SRR11272014	35268635	76.47	11.69	11.07	84	76393	952026	11333	629	621	1849	20430
SRR11272015	14863095	76.68	11.54	11.03	84	76393	799013	9512	614	617	1501	19707
SRR11272016	21233974	77.04	11.92	10.28	84	76393	876371	10432	681	674	1871	18775
SRR11272021	16869134	81.02	11.43	6.69	84	76393	640114	7620	602	599	1285	17695
SRR11272022	18834712	80.41	11.71	7.05	84	76393	663339	7896	654	657	627	18495
SRR11272023	16876030	81.31	11.10	6.87	84	76393	648666	7722	628	644	562	17090
SRR11272024	17524182	81.61	11.13	6.58	83	76393	630163	7592	688	668	1294	16706
SRR11272030	18720946	73.24	12.21	13.83	84	76393	865733	10306	1029	1040	2337	17707
SRR11272031	15006248	61.01	16.29	21.87	84	76393	550578	6554	477	455	700	17514
SRR11272032	20244645	65.39	11.30	22.43	84	76393	651870	7760	694	706	1400	19002
SRR11272033	24490752	54.51	12.71	32.03	84	76393	566028	6738	473	475	711	22903
SRR11272036	15561654	64.23	16.14	18.02	84	76393	686301	8170	588	573	1744	19845
SRR11272037	14854949	56.00	12.77	30.51	84	76393	543756	6473	367	336	941	20017
SRR11272040	9910106	62.27	15.07	21.66	83	76393	528487	6367	458	454	773	18571
SRR11272041	12565158	66.72	10.78	21.55	84	76393	583580	6947	589	609	849	16459
SRR11272042	17632645	53.85	11.37	33.83	76	76393	475612	6258	324	324	709	20389
SRR11272045	15102050	64.95	17.23	16.20	84	76393	688898	8201	564	539	1344	23241
SRR11272046	13461241	25.38	12.31	61.59	83	76393	508963	6132	307	301	1136	20858
SRR11272047	44786512	71.66	10.07	17.60	84	76393	777506	9256	594	581	1958	17735
SRR11272055	10552154	79.02	11.21	9.05	84	76393	561032	6678	679	675	613	18023
SRR11272056	14831993	67.53	12.28	19.41	84	76393	549866	6546	450	445	908	17587
SRR11272057	16204927	69.62	10.12	19.49	84	76393	631876	7522	563	569	1289	17499
SRR11272058	23717707	55.27	13.68	30.07	83	76393	591531	7126	383	384	564	22070
SRR11272061	15268086	54.96	23.71	18.39	84	76393	695833	8283	507	479	799	22449
SRR11272062	20382099	66.79	10.74	21.77	84	76393	630513	7506	411	433	1242	17571
SRR11272063	17195090	71.12	10.66	17.49	84	76393	637848	7593	593	581	934	17731
SRR11272065	20829821	66.00	14.75	17.91	84	76393	708133	8430	590	583	919	24404
SRR11272066	17538079	67.17	13.39	18.28	84	76393	648905	7725	556	525	1385	19772
SRR11272067	21762874	63.54	15.34	19.74	84	76393	704673	8388	529	527	689	18478
SRR11272070	13077094	51.68	11.10	36.34	80	76393	478023	5975	535	507	497	19812
SRR11272071	1761987	65.89	11.10	22.17	82	76393	291966	3560	531	489	933	12099
SRR11272073	27592312	70.65	12.47	15.63	84	76393	724055	8619	492	508	1697	18270
SRR11272074	32078982	70.63	11.68	16.65	84	76393	735673	8758	461	475	898	17806
SRR11272075	12442791	64.06	14.03	21.00	83	76393	588770	7093	719	717	976	19148
SRR11272076	16644015	54.80	13.63	30.67	84	76393	564714	6722	533	553	673	17395
SRR11272077	12398741	65.30	17.25	15.99	84	76393	635976	7571	535	551	633	23665
SRR11272078	15752333	50.44	10.82	37.99	84	76393	447365	5325	349	334	880	18539
SRR11272079	15042525	62.17	10.98	26.20	83	76393	600620	7236	455	458	1230	19264
SRR11272082	19667480	61.97	11.36	25.82	84	76393	652783	7771	644	636	1579	18282
SRR11272084	23932246	64.73	12.92	21.35	84	76393	718703	8555	505	494	2161	18806
