Sample,SIGLEC1_count,Condition
SRR11272119,0,AD
SRR11272120,0,CTR
SRR11272121,0,CTR
SRR11272122,0,CTR
SRR11272123,1,CTR+
SRR11272124,0,AD
SRR11272126,0,MCI
SRR11272127,0,CTR
SRR11272128,0,CTR+
SRR11272129,0,AD
SRR11272130,0,AD
SRR11272133,0,CTR+
SRR11272134,0,AD
SRR11272135,0,MCI
SRR11272136,0,CTR+
SRR11272137,0,AD
SRR11272138,0,AD
SRR11272139,4,MCI
SRR11272140,0,CTR+
SRR11272141,0,CTR+
SRR11272142,0,CTR
SRR11272182,0,CTR
SRR11272183,0,AD
SRR11272184,0,CTR
SRR11272185,0,AD
SRR11272186,0,AD
SRR11272187,0,CTR
SRR11272188,0,AD
SRR11272189,0,CTR
SRR11272190,0,MCI
SRR11272191,0,AD
